source_id,phot_g_mean_mag,bp_rp,teff_gspphot,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
3322962496942145664,13.433729,1.593091,,Betelgeuse,88.792938991,7.407063995,6.55,27.54,11.3,21.91,2000,0.010589935180258182
3322962565659924352,17.875948,2.1672792,,Betelgeuse,88.792938991,7.407063995,6.55,27.54,11.3,21.91,2000,0.01359760070862376
3322962496943774592,14.895775,1.3057928,,Betelgeuse,88.792938991,7.407063995,6.55,27.54,11.3,21.91,2000,0.015279683948802608
3322962668739137152,17.613653,1.9054537,,Betelgeuse,88.792938991,7.407063995,6.55,27.54,11.3,21.91,2000,0.01624636701673724
3322962600023256704,18.31668,1.9512177,,Betelgeuse,88.792938991,7.407063995,6.55,27.54,11.3,21.91,2000,0.017069988611765487
3322962256425942400,18.731253,2.549037,,Betelgeuse,88.792938991,7.407063995,6.55,27.54,11.3,21.91,2000,0.017352715526048633
3322963321574172800,18.28542,2.055091,,Betelgeuse,88.792938991,7.407063995,6.55,27.54,11.3,21.91,2000,0.017831828306026754
3322963287214444928,14.442261,0.9741974,6691.998,Betelgeuse,88.792938991,7.407063995,6.55,27.54,11.3,21.91,2000,0.01796888118774897
3322962153343083520,19.096828,2.134058,,Betelgeuse,88.792938991,7.407063995,6.55,27.54,11.3,21.91,2000,0.01852571156963062
3322962496944080000,20.262772,2.3470058,,Betelgeuse,88.792938991,7.407063995,6.55,27.54,11.3,21.91,2000,0.01903768781599204
3322962668742736768,19.320162,2.4879265,,Betelgeuse,88.792938991,7.407063995,6.55,27.54,11.3,21.91,2000,0.01922068861505821
3322962256422296960,14.83569,1.3118181,,Betelgeuse,88.792938991,7.407063995,6.55,27.54,11.3,21.91,2000,0.019314066843853124
3322963321574168064,13.048707,1.0378456,5167.0996,Betelgeuse,88.792938991,7.407063995,6.55,27.54,11.3,21.91,2000,0.019930644116755637
3322963321577774208,17.925035,,,Betelgeuse,88.792938991,7.407063995,6.55,27.54,11.3,21.91,2000,0.020378356176749823
3322963287214446592,19.740297,3.0976562,,Betelgeuse,88.792938991,7.407063995,6.55,27.54,11.3,21.91,2000,0.02054737024727662
3322962600021511424,20.474377,2.2448578,,Betelgeuse,88.792938991,7.407063995,6.55,27.54,11.3,21.91,2000,0.02091111811326739
